,ID,Title,Trans_Title,Content,Time,Source,Link,Want,has_read,read_later,tags
30,1391,回家过年的“精英们”，挤爆镇上的KTV,回家過年的“精英們”，擠爆鎮上的KTV,“親民生意”表現出頑強的生命力。,2025-01-31 11:41:01,36kr,https://36kr.com/p/3145901837712902,1,0,0,
31,1390,开30万的电动车回老家，被BBA“鄙视”了,開30萬的電動車回老家，被BBA“鄙視”了,以前越貴越有面子，現在不一定。,2025-01-31 11:37:50,36kr,https://36kr.com/p/3145974776896005,1,0,0,
32,1387,电池跟弹夹一样换，这机子太野了,電池跟彈夾一樣換，這機子太野了,這屆年輕人愛上硬件整活。,2025-01-31 11:32:15,36kr,https://36kr.com/p/3146029578984198,1,0,0,
33,1386,电池跟弹夹一样换，这机子太野了！,電池跟彈夾一樣換，這機子太野了！,這屆年輕人愛上硬件整活。,2025-01-31 11:30:35,36kr,https://36kr.com/p/3146029578984198,1,0,0,
34,1385,《哪吒》逆袭，《射雕》降温：春节档背后的生死战,《哪吒》逆襲，《射鵰》降溫：春節檔背後的生死戰,觀眾會買賬嗎？,2025-01-31 11:28:47,36kr,https://36kr.com/p/3144542038628866,1,0,0,
35,1382,今年杭州最火独角兽,今年杭州最火獨角獸,今年杭州最火獨角獸,2025-01-31 11:23:50,36kr,https://36kr.com/p/3144890438670853,1,0,0,
36,1368,银行卡一碰手机钱没了？这种NFC新骗局要小心了！,銀行卡一碰手機錢沒了？這種NFC新騙局要小心了！,NFC詐騙如何防？,2025-01-31 10:53:39,36kr,https://36kr.com/p/3143671575723777,1,0,0,
37,1364,春晚和B站之间，差着亿万年轻人,春晚和B站之間，差著億萬年輕人,不是不想變，而是不能變,2025-01-31 10:45:50,36kr,https://36kr.com/p/3144053567815424,1,0,0,
38,1361,「唐探」十年：从唐人街出发，找去世界的路,「唐探」十年：從唐人街出發，找去世界的路,讓世界的唐人街回到中國,2025-01-31 10:25:18,36kr,https://36kr.com/p/3145378670526208,1,0,0,
39,1356,乙巳蛇年春节选择“分段游”，这届打工人与“携程们”渐行渐近,乙巳蛇年春節選擇“分段遊”，這屆打工人與“攜程們”漸行漸近,乙巳蛇年來了，打工人正式開啟過年模式。,2025-01-31 10:13:52,36kr,https://36kr.com/p/3145396460240385,1,0,0,
40,1355,谁是春晚上的大赢家？,誰是春晚上的大贏家？,科技企業，正在變化中嗅到新商機。,2025-01-31 10:07:59,36kr,https://36kr.com/p/3144725655125768,1,0,0,
41,1353,年轻人的新年，被二次元手工硬控,年輕人的新年，被二次元手工硬控,從“吃谷”到“種穀”,2025-01-31 10:03:00,36kr,https://36kr.com/p/3145238974053896,1,0,0,
42,1344,从剑桥词典年度热词“Manifest”看目标的实现方式,從劍橋詞典年度熱詞“Manifest”看目標的實現方式,不要犯蠢，不要犯懶。,2025-01-31 09:01:12,36kr,https://36kr.com/p/3115577874223369,1,0,0,
43,1269,特朗普都惊呼中国新公司的灵活，我们还能学习什么？,特朗普都驚呼中國新公司的靈活，我們還能學習什麼？,進化是唯一的方向。,2025-01-30 19:52:08,36kr,https://36kr.com/p/3142032131037960,1,0,0,
44,1228,硅谷掀桌！DeepSeek遭OpenAI和Anthropic围剿，美国网友都看不下去了,硅谷掀桌！DeepSeek遭OpenAI和Anthropic圍剿，美國網友都看不下去了,OpenAI拒絕進一步置評,2025-01-30 15:31:14,36kr,https://36kr.com/p/3144853084871433,1,0,0,
45,1210,开年最大IPO敲钟了，570亿,開年最大IPO敲鐘了，570億,新年第一個IPO。,2025-01-30 14:18:15,36kr,https://36kr.com/p/3144538996054786,1,0,0,
46,1207,11年票房超78亿！“男主角”家喻户晓，春节档没它不完整？,11年票房超78億！“男主角”家喻戶曉，春節檔沒它不完整？,中新經緯，精英的財經資訊。,2025-01-30 14:04:23,36kr,https://36kr.com/p/3143821471898116,1,0,0,
47,1201,春晚带火一大波同款，有爆品全网热卖上千万元,春晚帶火一大波同款，有爆品全網熱賣上千萬元,一年一度、眾星璀璨的“帶貨類”節目上線。,2025-01-30 13:24:44,36kr,https://36kr.com/p/3143835920947712,1,0,0,
48,1198,1.6万亿！微信「蓝包」的野心，藏不住了？,1.6萬億！微信「藍包」的野心，藏不住了？,今年過年，你用微信送禮了嗎？,2025-01-30 13:03:04,36kr,https://36kr.com/p/3143811311819527,1,0,0,
49,1174,过个年，有多少家庭因洗碗机而吵架？,過個年，有多少家庭因洗碗機而吵架？,過年家裡誰洗碗？,2025-01-30 12:15:35,36kr,https://36kr.com/p/3144542456912647,1,0,0,
50,1171,DeepSeek遭美大规模网络攻击，美方反应引发热议,DeepSeek遭美大規模網絡攻擊，美方反應引發熱議,AI競爭加劇下的一次“數字戰場交鋒”？,2025-01-30 12:00:17,36kr,https://36kr.com/p/3143378890440193,1,0,0,
51,1155,年货“C位”之战，卷起新变化,年貨“C位”之戰，捲起新變化,休閒零食的春節戰事。,2025-01-30 11:07:11,36kr,https://36kr.com/p/3143817214663433,1,0,0,
52,1150,“DeepSeek甚至绕过了CUDA”，工程师灵魂提问：英伟达护城河还在吗？,“DeepSeek甚至繞過了CUDA”，工程師靈魂提問：英偉達護城河還在嗎？,“嫌CUDA太慢用匯編，量化交易員才幹得出這事”,2025-01-30 10:56:55,36kr,https://36kr.com/p/3143877560589065,1,0,0,
53,1145,海底捞如何培养百万年薪店长？,海底撈如何培養百萬年薪店長？,海底撈復刻海底撈。,2025-01-30 10:33:51,36kr,https://36kr.com/p/3140471061912327,1,0,0,
54,1130,人工智能也会骗人了，这是否是更高智能的体现？,人工智能也會騙人了，這是否是更高智能的體現？,人工智能就像人類的一面鏡子。,2025-01-30 09:56:16,36kr,https://36kr.com/p/3129680244185096,1,0,0,
55,1129,AI“硬控”拜年,AI“硬控”拜年,今年拜年，你用上AI了嗎？,2025-01-30 09:56:13,36kr,https://36kr.com/p/3143094561741320,1,0,0,
56,1128,蒋凡上春晚,蔣凡上春晚,延續與黃崢的雙雄之戰。,2025-01-30 09:56:11,36kr,https://36kr.com/p/3143754704994052,1,0,0,
57,1127,国产动画，都有谁在看啊？,國產動畫，都有誰在看啊？,一聲“同擔”你會懂。,2025-01-30 09:56:09,36kr,https://36kr.com/p/3143549954244354,1,0,0,
58,1126,背水一战：春节档电影含“金”量爆棚,背水一戰：春節檔電影含“金”量爆棚,2025年春節檔，頭部電影公司背水一戰。,2025-01-30 09:56:07,36kr,https://36kr.com/p/3143296520076804,1,0,0,
59,1125,净利骤降超98％，晶科能源凛冬已至,淨利驟降超98％，晶科能源凜冬已至,淨利驟降超98%！晶科能源，凜冬已至,2025-01-30 09:56:05,36kr,https://36kr.com/p/3143247417720322,1,0,0,
60,1124,减肥药企业Metsera冲刺纳斯达克：估值18亿美元，路演PPT曝光,減肥藥企業Metsera衝刺納斯達克：估值18億美元，路演PPT曝光,Metsera發行區間為15美元到17美元，發行1718.75萬股，最高募資2.9億美元。,2025-01-30 09:56:03,36kr,https://36kr.com/p/3142039131970307,1,0,0,
61,1123,OpenAI首席研究官：DeepSeek独立发现了o1的一些核心思路，奥特曼、LeCun纷纷置评,OpenAI首席研究官：DeepSeek獨立發現了o1的一些核心思路，奧特曼、LeCun紛紛置評,Yann LeCun：市場對於 DeepSeek 的成本反應並不合理。,2025-01-30 09:56:02,36kr,https://36kr.com/p/3143806457797121,1,0,0,
62,1045,做家教、当网红…连券商首席都去陪滑雪，金融圈疯狂搞副业有多卷？,做家教、當網紅…連券商首席都去陪滑雪，金融圈瘋狂搞副業有多卷？,新的一年，最重要的是搞錢。,2025-01-29 17:16:38,36kr,https://36kr.com/p/3141879017413376,1,0,0,
63,1036,铁打男主持流水女主持，春晚如何捧出新“花旦”？,鐵打男主持流水女主持，春晚如何捧出新“花旦”？,綜藝主持霸屏時間短，迭代速度快,2025-01-29 16:49:39,36kr,https://36kr.com/p/3141892863089413,1,0,0,
64,1014,为了「那一口」，我必须回家过年,為了「那一口」，我必須回家過年,舌尖上是歲月的味道,2025-01-29 15:32:38,36kr,https://36kr.com/p/3141942553057795,1,0,0,
65,1010,手术机器人，走过最艰难一年,手術機器人，走過最艱難一年,2025年手術機器人市場，會回暖嗎？,2025-01-29 15:15:26,36kr,https://36kr.com/p/3143055022889474,1,0,0,
66,1008,儒意控股募资近39亿港元：阳光人寿与TFI加持 腾讯为二股东,儒意控股募資近39億港元：陽光人壽與TFI加持 騰訊為二股東,騰訊仍為二股東，陽光人壽持股增至7%。,2025-01-29 15:09:36,36kr,https://36kr.com/p/3142038765935363,1,0,0,
67,1005,小红书的“成名时刻”已经过去,小紅書的“成名時刻”已經過去,別忘了我啊,2025-01-29 14:32:08,36kr,https://36kr.com/p/3142047266806536,1,0,0,
68,998,我们用DeepSeek分析迅雷5亿收购虎扑，结果……,我們用DeepSeek分析迅雷5億收購虎撲，結果……,AI的觀點前所未有地具有啟發性，但我們會被AI主導思考嗎？,2025-01-29 13:32:13,36kr,https://36kr.com/p/3142052344404742,1,0,0,
69,988,两家大厂投了一家3D生成大模型公司｜WAVES,兩家大廠投了一家3D生成大模型公司｜WAVES,美團字節同時投資。,2025-01-29 12:56:33,36kr,https://36kr.com/p/3123508311218182,1,0,0,
70,987,两位科学家关于AI for science的开年演讲,兩位科學家關於AI for science的開年演講,探討AI智能的本質及教育變革。,2025-01-29 12:55:48,36kr,https://36kr.com/p/3123514131781633,1,0,0,
71,974,年轻人的年夜饭，拼着吃,年輕人的年夜飯，拼著吃,該省省，該花花。,2025-01-29 12:16:23,36kr,https://36kr.com/p/3143043651878405,1,0,0,
72,954,巅峰77亿的虎扑如今只值5亿？这是误解,巔峰77億的虎撲如今只值5億？這是誤解,一次被誤讀的收購。,2025-01-29 11:10:03,36kr,https://36kr.com/p/3143179978742528,1,0,0,
73,953,缺席春晚13年，赵本山去哪儿了？,缺席春晚13年，趙本山去哪兒了？,現在小品不好看，都賴趙本山,2025-01-29 11:08:36,36kr,https://36kr.com/p/3143087498828295,1,0,0,
74,950,春节“出海”东南亚：中国年货成必备年味,春節“出海”東南亞：中國年貨成必備年味,年貨還是要看中國製造,2025-01-29 11:00:43,36kr,https://36kr.com/p/3142116948950528,1,0,0,
75,945,DeepSeek“小力出奇迹”,DeepSeek“小力出奇跡”,DeepSeek，字節“破壁人”。,2025-01-29 10:36:21,36kr,https://36kr.com/p/3142363392612869,1,0,0,
76,937,春节“断货王”：有商家月销几万单，有商家复购率80％,春節“斷貨王”：有商家月銷幾萬單，有商家復購率80％,一代人有一代人的“年味”。,2025-01-29 10:16:29,36kr,https://36kr.com/p/3141766058367747,1,0,0,
77,936,梁文锋“反对”张一鸣,梁文鋒“反對”張一鳴,DeepSeek，字節“破壁人”。,2025-01-29 10:16:27,36kr,https://36kr.com/p/3142363392612869,1,0,0,
78,935,2025蛇年春节，要舒适，也要爽玩！,2025蛇年春節，要舒適，也要爽玩！,這個春節怎麼過？,2025-01-29 10:16:25,36kr,https://36kr.com/p/3142161001880064,1,0,0,
79,934,史上最强春节档，谁是最大赢家？,史上最強春節檔，誰是最大贏家？,票房冠軍花落誰家？,2025-01-29 10:16:23,36kr,https://36kr.com/p/3141986994854658,1,0,0,
80,933,DeepSeek砍掉英伟达台积电5万亿市值！登五大外媒头版，OpenAI急得发预告,DeepSeek砍掉英偉達臺積電5萬億市值！登五大外媒頭版，OpenAI急得發預告,硅谷地震，華爾街變天。,2025-01-29 10:16:21,36kr,https://36kr.com/p/3141910591789577,1,0,0,
81,932,总统支持率越低，美股表现越好？,總統支持率越低，美股表現越好？,總統支持率與美股表現存在反相關關係。目前特朗普的支持率較低，處於利好美股創造高於平均水平回報率的最佳位置。,2025-01-29 10:16:20,36kr,https://36kr.com/p/3141882665278213,1,0,0,
82,931,“无印良品”要在中国开低价格店,“無印良品”要在中國開低價格店,時間在2025年夏天,2025-01-29 10:16:18,36kr,https://36kr.com/p/3141684362107401,1,0,0,
83,930,淘宝抖音美团组团抄作业，都想挤进微信关系圈,淘寶抖音美團組團抄作業，都想擠進微信關係圈,張小龍送你一份心意。,2025-01-29 10:16:16,36kr,https://36kr.com/p/3142320627973892,1,0,0,
84,929,拯救 i 人，试试 AI 拜年？,拯救 i 人，試試 AI 拜年？,AI春節，整活新方式。,2025-01-29 10:16:14,36kr,https://36kr.com/p/3142228081990148,1,0,0,
85,928,新华保险持续接盘王健林旗下资产，大规模收购万达广场意欲何为？,新華保險持續接盤王健林旗下資產，大規模收購萬達廣場意欲何為？,險資發力不動產,2025-01-29 10:16:11,36kr,https://36kr.com/p/3142154618994178,1,0,0,
86,923,帕累托原则：重新掌控你的时间,帕累託原則：重新掌控你的時間,你想要的大部分成果只來自於一小部分的努力。,2025-01-29 09:01:45,36kr,https://36kr.com/p/3128282510907652,1,0,0,
87,875,医美市场，没有资本寒冬,醫美市場，沒有資本寒冬,投融資活躍度不降反增。,2025-01-28 18:02:09,36kr,https://36kr.com/p/3141638535650051,1,0,0,
88,871,疗愈经济崛起，跑出八大创新业态,療愈經濟崛起，跑出八大創新業態,一場從內到外的精神“治”富,2025-01-28 17:33:25,36kr,https://36kr.com/p/3140369231871495,1,0,0,
89,863,刚需消费、向下消费，县城春节消费迎巨变,剛需消費、向下消費，縣城春節消費迎鉅變,下沉市場的需求更加細分了。,2025-01-28 16:59:08,36kr,https://36kr.com/p/3140428076030726,1,0,0,
90,854,Deepseek又出连招：刚发布了超越DALL-E3的多模态模型,Deepseek又出連招：剛發佈了超越DALL-E3的多模態模型,春節不休息，震撼不停止。,2025-01-28 16:13:17,36kr,https://36kr.com/p/3142062147967492,1,0,0,
91,851,春节手机摄影自救指南：让你在朋友圈脱颖而出,春節手機攝影自救指南：讓你在朋友圈脫穎而出,要拍照的事可不少,2025-01-28 16:02:24,36kr,https://36kr.com/p/3140461613259527,1,0,0,
92,844,“省服”，硬控年轻人的过年新衣,“省服”，硬控年輕人的過年新衣,土到極致就是潮。,2025-01-28 15:36:37,36kr,https://36kr.com/p/3140848575643401,1,0,0,
93,830,德国车在华节节败退：保时捷销量大跌三成，奔驰下调利润目标，大众拉响警报,德國車在華節節敗退：保時捷銷量大跌三成，奔馳下調利潤目標，大眾拉響警報,奔馳CEO率先呼籲，歐盟應鼓勵中國車企赴歐建廠,2025-01-28 15:04:50,36kr,https://36kr.com/p/3140466096364293,1,0,0,
94,717,给猫狗吃的满汉全席年夜饭，到底是谁在买啊,給貓狗吃的滿漢全席年夜飯，到底是誰在買啊,今年“寵物年夜飯”爆火，更讓“它經濟”變成新消費行業的香餑餑。,2025-01-28 11:37:12,36kr,https://36kr.com/p/3141705949551360,1,0,0,
95,707,杰文斯悖论：DeepSEEK干掉英伟达5888亿美元,傑文斯悖論：DeepSEEK幹掉英偉達5888億美元,好一朵美麗的鬱金香？,2025-01-28 11:19:18,36kr,https://36kr.com/p/3141634467584518,1,0,0,
96,700,DeepSeek给普通人的启示,DeepSeek給普通人的啟示,兩種學習模式,2025-01-28 11:07:48,36kr,https://36kr.com/p/3141614144166665,1,0,0,
97,667,一场关于DeepSeek的高质量闭门会：比技术更重要的是愿景,一場關於DeepSeek的高質量閉門會：比技術更重要的是願景,“聽說梁文鋒自己也會打標籤。”,2025-01-28 10:19:30,36kr,https://36kr.com/p/3141715787979520,1,0,0,
98,654,字节跳动，带头卷大厂健身福利,字節跳動，帶頭卷大廠健身福利,被低估的企業健康生意。,2025-01-28 10:04:25,36kr,https://36kr.com/p/3140945381612295,1,0,0,
99,637,全球市场吓坏了！,全球市場嚇壞了！,避險資產成了香餑餑,2025-01-28 09:13:37,36kr,https://36kr.com/p/3140887203469824,1,0,0,
100,636,春节红包战静悄悄，大厂为何不再“撒钱”？,春節紅包戰靜悄悄，大廠為何不再“撒錢”？,從180億縮水到34億。,2025-01-28 09:12:05,36kr,https://36kr.com/p/3140890259806985,1,0,0,
101,635,在B站考古春晚，年轻人回到自己“还没有变成毒妇的时候”,在B站考古春晚，年輕人回到自己“還沒有變成毒婦的時候”,我懷念的,2025-01-28 09:12:03,36kr,https://36kr.com/p/3140966106536706,1,0,0,
102,634,短剧春节档：近2000部角逐！小红书，爱奇艺，腾讯视频…这一赛道被重点加码？,短劇春節檔：近2000部角逐！小紅書，愛奇藝，騰訊視頻…這一賽道被重點加碼？,短劇“霸總”比我先回村過年！,2025-01-28 09:12:01,36kr,https://36kr.com/p/3140775066861318,1,0,0,
103,633,罗永浩还债记,羅永浩還債記,2025年，“真還傳”能否迎來大結局？,2025-01-28 09:10:28,36kr,https://36kr.com/p/3140769299356160,1,0,0,
104,632,房企想过个好年,房企想過個好年,鬱亮、祝九勝辭職了！,2025-01-28 09:10:26,36kr,https://36kr.com/p/3140775905024775,1,0,0,
105,631,国产恶女，登堂入室,國產惡女，登堂入室,寧願可惡，不願可憐。,2025-01-28 09:10:24,36kr,https://36kr.com/p/3140886879574787,1,0,0,
106,630,AI 2025！8大热门赛道开年前瞻，从AI眼镜到推理Scaling一网打尽,AI 2025！8大熱門賽道開年前瞻，從AI眼鏡到推理Scaling一網打盡,邀諸君共同參與或觀望,2025-01-28 09:09:01,36kr,https://36kr.com/p/3140529805679105,1,0,0,
107,629,19.9元“招财神器”卖爆，年轻人“人手一个”过春节,19.9元“招財神器”賣爆，年輕人“人手一個”過春節,金價暴漲，黃金消費尋找新釋放。,2025-01-28 09:08:59,36kr,https://36kr.com/p/3140564235426561,1,0,0,
108,624,雷彬艺抛弃了张大大,雷彬藝拋棄了張大大,雷彬藝到底想帶著無憂傳媒去往何方？,2025-01-28 09:01:34,36kr,https://36kr.com/p/3140735725321992,1,0,0,
109,623,大型语言模型：2024年回顾与2025年趋势,大型語言模型：2024年回顧與2025年趨勢,大型語言模型將在多個領域展現更大潛力。,2025-01-28 09:01:32,36kr,https://36kr.com/p/3121238318190856,1,0,0,
110,589,DeepSeek推翻两座大山,DeepSeek推翻兩座大山,黃仁勳、奧特曼和整個華爾街都懵了……,2025-01-28 08:33:06,36kr,https://36kr.com/p/3140911893142017,1,0,0,
111,176,单季度豪赚百亿美元，Netflix一爆再爆,單季度豪賺百億美元，Netflix一爆再爆,市值衝破4000億，即將成為全球前20大公司。,2025-01-28 04:34:09,36kr,https://36kr.com/p/3139569961360131,1,0,0,
112,172,结婚人数9连降，县城红娘却忙疯了,結婚人數9連降，縣城紅娘卻忙瘋了,此刻，她們正在迎接一年之中，生意最好的時候。,2025-01-28 04:34:07,36kr,https://36kr.com/p/3140224381721095,1,0,0,
113,170,养生水，大战春节餐桌,養生水，大戰春節餐桌,過年聚餐，年輕人愛上喝“草”。,2025-01-28 04:34:04,36kr,https://36kr.com/p/3140277350603264,1,0,0,
114,168,“留守猫咪”背后的大生意：内蒙小县，供应全球20％的猫砂,“留守貓咪”背後的大生意：內蒙小縣，供應全球20％的貓砂,內蒙寧城縣的貓砂生意,2025-01-28 04:34:02,36kr,https://36kr.com/p/3139548257196807,1,0,0,
115,166,华熙生物预计2024年净利润下滑超七成，市值较高点蒸发1253亿元,華熙生物預計2024年淨利潤下滑超七成，市值較高點蒸發1253億元,華熙生物業績不景氣，市值蒸發1253.35億元。,2025-01-28 04:34:00,36kr,https://36kr.com/p/3139734547365633,1,0,0,
116,163,2025的淘宝许愿报告，其实是一篇对未来行业风口的预测,2025的淘寶許願報告，其實是一篇對未來行業風口的預測,“賺點小錢”在年輕人的新年願望裡只能排第二。,2025-01-28 04:33:58,36kr,https://36kr.com/p/3140350450621191,1,0,0,
117,159,2025年，15家旅企“嗷嗷”等待上市…,2025年，15家旅企“嗷嗷”等待上市…,印象大紅袍和陝西旅遊誰能拿到2025年演藝第一股？,2025-01-28 04:33:55,36kr,https://36kr.com/p/3139668260634117,1,0,0,
118,155,融创再获中信金融资产支持，事关融创壹号院项目,融創再獲中信金融資產支持，事關融創壹號院項目,融創又一項目獲AMC支持。,2025-01-28 04:33:53,36kr,,1,0,0,
119,151,多地房地产市场1月“开门红”,多地房地產市場1月“開門紅”,滬廣深杭等依然領漲全國,2025-01-28 04:33:51,36kr,https://36kr.com/p/3140376629893639,1,0,0,
